Код_ИАТА	Внутр._код	Населённый_пункт	Регион	Название_аэропорта
CSH	СОИ	Соловецкие острова	Архангельская область	Соловки
AER	СОЧ	Сочи, город	Краснодарский край	Адлер-Сочи
STW	СТВ	Ставрополь, город	Ставропольский край	Шпаковское
	СОЛ	Старый Оскол	Белгородская область	Старый Оскол
SWT	СТЖ	Стрежевой	Томская область	Стрежевой
SUY	СУН	Сунтар	Якутия	Сунтар
SGC	СУР	Сургут	ХМАО	Сургут
SCW	СЫВ	Сыктывкар	Коми	Сыктывкар
TGK	ТАГ	Таганрог, город	Ростовская область	Таганрог-Южный
TBW	ТМБ	Тамбов, город	Тамбовская область	Донское
TQL	ТКС	Тарко-Сале	Ямало-Ненецкий АО	Тарко-Сале
	ТРЬ	Тверь, город	Тверская область	Змеёво
KLD	ТВГ	Тверь, город	Тверская область	Мигалово
IKS	ТСИ	Тикси	Якутия	Тикси
	ТИЛ	Тиличики	Камчатский край	Тиличики
TOF	ТСК	Томск, город	Томская область	Богашёво
	ТАУ	Тура	Красноярский край	Горный
TYD	ТЫД	Тында	Амурская область	Тында
	ПЛХ	Тюмень, город	Тюменская область	Плеханово (МВЛ)
TJM	РЩН	Тюмень	Тюменская область	Рощино
PYJ	ПЛЯ	Удачный	Якутия	Полярный
UUD	УЛЭ	Улан-Удэ, город	Бурятия	Улан-Удэ (Мухино)
		Улан-Удэ, город	Бурятия	Улан-Удэ (Восточный)
ULV	УЛК	Ульяновск, город	Ульяновская область	Ульяновск (Баратаевка)
ULY	УЛС	Ульяновск, город	Ульяновская область	Ульяновск (Восточный)
URJ		Урай	ХМАО	Урай
USK	УСН	Усинск	Коми	Усинск
UIK		Усть-Илимск	Иркутская область	Усть-Илимск
UKG	УКУ	Усть-Куйга	Якутия	Усть-Куйга
UKX	УСК	Усть-Кут	Иркутская область	Усть-Кут
USR	УНР	Усть-Нера	Якутия	Усть-Нера
UFA	УФА	Уфа, город	Башкортостан	Уфа
UCT	УХТ	Ухта	Коми	Ухта
	ХБА	Хабаровск, город	Хабаровский край	Хабаровск (МВЛ)
KHV	ХБР	Хабаровск, город	Хабаровский край	Хабаровск-Новый
KDY	ХДЫ	Хандыга	Якутия	Хандыга (Теплый ключ)
HMA	ХАС	Ханты-Мансийск, город	Ханты-Мансийский АО	Ханты-Мансийск
	ХАУ	Харута	Ненецкий АО	Харута
HTG	ХАТ	Хатанга	Красноярский край	Хатанга
	ХРП	Херпучи	Хабаровский край	Херпучи
	ЧАР	Чара	Читинская область	Чара
CSY	ЧБЕ	Чебоксары	Чувашия	Чебоксары
CEK	ЧЛБ	Челябинск	Челябинская область	Челябинск
CEE	ЧРВ	Череповец	Вологодская область	Череповец
CYX	ЧРС	Черский	Якутия	Черский
HTA	СХТ	Чита	Читинская область	Кадала
CKH	ЧКД	Чокурдах	Якутия	Чокурдах
	ЧМИ	Чумикан	Хабаровский край	Чумикан
EKS	ШАХ	Шахтерск	Сахалинская область	Шахтёрск
	ШУШ	Шушенское	Красноярский край	Шушенское
CKL		Щёлково	Московская область	Чкаловский
	ЭМП	Экимчан	Амурская область	Экимчан
ESL	ЭЛИ	Элиста	Калмыкия	Элиста
DEE	ЮЖК	Южно-Курильск	Сахалинская область	Менделеево
UUS	ЮЖХ	Южно-Сахалинск	Сахалинская область	Хомутово
YKS	ЯКТ	Якутск, город	Якутия	Якутск
	ЯМБ	Ямбург, посёлок	Ямало-Ненецкий АО	Ямбург
	ЯРВ	Ярославль, город	Ярославская область	Левцово
IAR	ЯРТ	Ярославль, город	Ярославская область	Ярославль (Туношна)
